ID_Orden,ID_Cliente,ID_Ciudad,ID_StatusOrden,Total_Orden,Fecha_Orden,NumeroOrden,ID_DetalleOrden,ID_Parte,ID_Descuento,CantidadOrden,VehiculoID,IDCotizacion,status,TipoDocumento,FechaCreacionCotizacion,ProcesadoPor,IDAseguradora,AseguradoraSubsidiaria,NumeroReclamo,IDPlantaReparacion,OrdenRealizada,CotizacionRealizada,CotizacionDuplicada,procurementFolderID,DireccionEntrega1,DireccionEntrega2,MarcadoEntrega,IDPartner,CodigoPostal_Cotizacion,LeidoPorPlantaReparacion,LeidoPorPlantaReparacionFecha,CotizacionReabierta,EsAseguradora,CodigoVerificacion,IDClientePlantaReparacion,FechaCreacionRegistro_Cotizacion,IDRecotizacion,PartnerConfirmado,WrittenBy,SeguroValidado,FechaCaptura,Ruta,FechaLimiteRuta
11,,292,2,17852.01,00:35.1,46547,11,AC1000113R,25,11,93571,11,Order,2675427478,44:52.7,Planta de Reparacion,1846,4101,86406,2920515,FALSE,TRUE,TRUE,,505 Second St.,,TRUE,37308,19603,TRUE,17:47.8,FALSE,TRUE,60d79e6a-cd56-4809-a9ff-5c3c8a27ab43,,52:11.1,886,TRUE,,FALSE,26:34.3,3102KIP,23:59
12,,468,3,7668.16,11:21.2,98705,12,*444MISC,8,12,37539,12,Order,5273311883,45:21.1,Aseguradora,1335,20856,91433,92988,TRUE,TRUE,FALSE,,833 Oak Drive, Group,FALSE,97350,59037,TRUE,47:07.3,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,22:56.2,77101,FALSE,,TRUE,58:45.0,3002006,9:00
13,,633,4,2273.78,50:03.4,11563,13,ABP501,22,1,95756,13,Order,5778773243,52:02.2,Servicio de Integracion,1335,91041,37911,1800859,FALSE,TRUE,FALSE,,897 East Cowley Drive,Appartment 7,FALSE,53616,99487,FALSE,01:15.9,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,07:30.5,82276,TRUE,,FALSE,13:45.1,,
14,,470,3,24972.96,19:11.5,90654,14,ABPD4107,1,2,171664,14,Quote,5559898126,33:26.2,Servicio de Integracion,880,43313,66274,2328701,FALSE,TRUE,FALSE,,78 West Fabien Blvd.,Lincoln Building,FALSE,63847,86699,TRUE,54:28.2,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,14:46.5,69321,FALSE,,FALSE,35:04.7,3102KIP,23:59
15,,983,6,10377.25,7/19/2015 4:55,65677,15,*773SPOT,14,3,12885,15,Quote,9500539298,59:26.1,Aseguradora,1467,85152,81333,255263,FALSE,TRUE,TRUE,,20 Cowley Way,7th Floor,TRUE,9189,4360,TRUE,32:58.4,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,53:25.5,50410,FALSE,,TRUE,13:52.6,3213008,8:00
16,,31,1,14724.73,53:36.6,94939,16,ABP200,18,4,12943,16,Quote,8007650154,15:25.6,Servicio de Integracion,1467,64228,10578,1620672,TRUE,FALSE,FALSE,,95 Clarendon Way,Suite 255,TRUE,41872,97121,FALSE,30:45.9,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:16.5,37926,FALSE,,TRUE,39:47.2,,
17,,863,6,5940.85,48:35.5,10944,17,AC1000153R-ORIG.REC,3,5,72360,17,Quote,3280154036,17:57.2,Planta de Reparacion,3,24011,24152,1425662,FALSE,TRUE,TRUE,,66 Clarendon Avenue,Appartment 12,FALSE,30176,43948,TRUE,06:55.0,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:26.2,63453,TRUE,,TRUE,03:57.3,,
18,,996,6,18842.45,57:36.8,7717,18,ABPP9008,,6,169036,18,Quote,2827719323,2/7/2017 10:34,Servicio de Integracion,1467,5507,49900,2593644,TRUE,FALSE,TRUE,,410 Rocky Clarendon Boulevard,63th Floor,FALSE,49304,82717,FALSE,24:09.6,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,24:46.2,81463,FALSE,,FALSE,25:22.8,3021S05,13:00
19,,678,5,2871.43,49:19.0,66611,19,ABP134,,7,,19,Quote,5758133110,08:17.0,Planta de Reparacion,1467,53532,89681,1363541,FALSE,FALSE,TRUE,,32 Rocky Fabien St.,,TRUE,94252,30311,TRUE,45:20.3,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,24:28.3,39718,TRUE,,TRUE,03:36.3,,
20,,315,2,21292.67,43:10.9,78297,20,AC1000146R-ORIG.REC,,8,143031,20,Quote,5638896992,05:02.9,Aseguradora,1467,38161,51222,3267792,TRUE,TRUE,FALSE,,771 Green Milton Street,Sales Department,FALSE,8999,21050,FALSE,01:27.3,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,21:34.5,8833,FALSE,,FALSE,41:41.7,,
21,,817,5,17698.18,43:03.7,41071,21,ABPFR3000V3,17,9,157310,21,Quote,725878121,42:37.3,Aseguradora,1467,67749,85812,2446173,TRUE,TRUE,TRUE,,54 Green Clarendon Drive,Madison Building,FALSE,40781,69854,TRUE,09:58.0,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,32:07.7,56657,TRUE,,FALSE,54:17.3,3087OM4,7:00
22,,849,6,4657.19,08:24.3,98115,22,AC1000156C-ORIG.REC,1,10,149543,22,Order,1152519659,42:38.1,Servicio de Integracion,1467,57284,66978,3407677,TRUE,TRUE,FALSE,,607 Cowley Boulevard,Suite 1,FALSE,47096,56770,FALSE,55:12.2,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,37:43.4,6649,TRUE,,FALSE,20:14.6,,
23,,992,6,1108.96,32:07.3,64615,23,ABPTD223,,11,139927,23,Order,4254830624,11:26.2,Planta de Reparacion,1467,42881,20482,2727279,FALSE,FALSE,TRUE,,421 South Rocky Clarendon St.,2nd Floor,FALSE,14189,81780,TRUE,31:46.7,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,02:28.0,29214,FALSE,,FALSE,33:09.3,3895013,7:00
24,,33,1,20324.51,08:53.8,84881,24,ABP203,,12,150256,24,Order,6676645398,52:21.2,Planta de Reparacion,1693,98840,27005,1633040,FALSE,FALSE,TRUE,,39 White Fabien St.,Sales Department,FALSE,9558,38713,FALSE,46:19.3,TRUE,FALSE,d3d35eb1-cc52-4f7f-b0ab-dd6173dd513b,79872718,26:54.0,8787,TRUE,nxgangadhara,TRUE,07:28.7,,
25,,700,5,6166.94,50:50.6,48215,25,661HLPSCRAP,13,1,161248,25,Quote,5513544036,03:31.1,Servicio de Integracion,880,73218,62902,722806,FALSE,TRUE,FALSE,,810 Clarendon Freeway,Wilson Building,TRUE,28977,18560,FALSE,13:15.5,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,16:07.4,82901,TRUE,,FALSE,18:59.3,,
26,,527,4,20431.96,21:30.0,11270,26,ABPG2164,3,2,171453,26,Order,3399484159,43:55.5,Call center,880,3785,9808,2454261,FALSE,TRUE,TRUE,,71 Hague Freeway,1st Floor,FALSE,76107,72110,FALSE,41:06.4,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,43:48.5,94941,FALSE,,TRUE,46:30.5,3091023,14:00
27,,935,6,19283.15,36:27.5,33562,27,ABP360441,,3,,27,Quote,5584854019,48:43.6,Servicio de Integracion,320,75644,52664,1702284,FALSE,TRUE,,,339 North Second Boulevard,Sales Group,FALSE,26846,93865,TRUE,55:00.0,FALSE,FALSE,3b7487a7-6e31-452d-8fdb-14648db0c3d2,,42:43.7,42416,TRUE,,FALSE,30:27.4,313020H,6:00
28,,688,5,1174.57,02:35.8,64034,28,AC1000124CORE-ORIG.REC,20,4,188693,28,Order,6602585111,28:32.7,Planta de Reparacion,698,46948,31156,3007233,FALSE,TRUE,TRUE,,78 South New Parkway,1st Floor,FALSE,50774,45982,TRUE,01:23.2,FALSE,TRUE,d3d35eb1-cc52-4f7f-b0ab-dd6173dd513b,,00:27.4,99928,TRUE,,FALSE,59:31.7,3030021,10:00
29,,547,4,17681.79,07:10.0,16340,29,ABPHD2882,,5,123966,29,Quote,6336606883,39:30.3,Planta de Reparacion,1279,14637,6860,2519485,TRUE,TRUE,TRUE,,367 Second Boulevard,Suite 8,FALSE,92918,83131,FALSE,13:31.1,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,23:31.3,69482,TRUE,,FALSE,33:31.6,3064T05,7:00
30,,82,1,10938.87,48:53.1,25093,30,ABPCR416,,6,16297,30,Quote,964059525,11:39.2,Servicio de Integracion,1279,71686,47045,2271350,TRUE,FALSE,FALSE,,12 Nobel Drive,,FALSE,48215,4584,TRUE,32:45.7,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,07:12.3,87957,FALSE,,TRUE,41:39.0,,
31,,188,2,22324.04,20:08.8,77209,31,661BLEM10,,7,196928,31,Quote,3280154036,17:57.2,Planta de Reparacion,3,24011,24152,1425662,FALSE,TRUE,TRUE,,66 Clarendon Avenue,Appartment 12,FALSE,30176,43948,TRUE,06:55.0,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:26.2,63453,TRUE,,TRUE,03:57.3,,
32,,454,3,21992.13,11:06.0,8338,32,AC1000130-ORIG.REC,,8,64992,32,Quote,6851294430,55:44.9,Planta de Reparacion,880,35710,22193,3054195,TRUE,TRUE,FALSE,,,Appartment 40,FALSE,40795,37078,TRUE,41:17.0,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,29:58.2,57716,FALSE,,TRUE,18:39.4,3081005,7:00
33,,298,2,13994.11,56:18.1,11291,33,AC1000110CORE,,9,194298,33,Quote,3280154036,17:57.2,Planta de Reparacion,3,24011,24152,1425662,FALSE,TRUE,TRUE,,66 Clarendon Avenue,Appartment 12,FALSE,30176,43948,TRUE,06:55.0,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:26.2,63453,TRUE,,TRUE,03:57.3,,
34,,989,6,3287.74,58:41.2,359,34,ABP9977,16,10,194056,34,Order,7763683139,06:37.3,Servicio de Integracion,438,93420,20679,2180498,TRUE,TRUE,TRUE,,41 West Milton Street,Appartment 32,TRUE,75317,2567,TRUE,22:14.4,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,16:14.7,15304,FALSE,,FALSE,10:15.1,,
35,,643,4,9973.66,57:24.6,77094,35,661CUST.CORE,,11,27742,35,Quote,6378930181,08:39.1,Aseguradora,698,36641,83925,720014,TRUE,TRUE,TRUE,,168 Green Clarendon St.,1st Floor,TRUE,46716,83090,TRUE,36:58.2,FALSE,TRUE,d3d35eb1-cc52-4f7f-b0ab-dd6173dd513b,,41:46.1,30155,TRUE,,FALSE,46:34.1,,
36,,763,5,5325.97,08:19.9,14029,36,ABP3260,,12,65264,36,Quote,769519511,24:29.0,Planta de Reparacion,1467,9904,50771,1683430,TRUE,TRUE,FALSE,,47 White Nobel St.,Edison Building,TRUE,80054,31821,FALSE,05:03.9,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,59:21.2,19596,FALSE,,TRUE,53:38.5,3020002,0:15
37,,1016,1,18117.74,10:22.6,66472,37,ABPGM1006,21,1,116036,37,Quote,3174825017,57:28.4,Servicio de Integracion,1467,12781,423,2454683,TRUE,TRUE,TRUE,,919 Rocky Second Street,,TRUE,58872,46515,FALSE,23:50.8,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,59:50.4,21447,TRUE,,TRUE,35:49.9,,
38,,382,3,6084.49,56:26.5,37823,38,*999MISC,22,2,114389,38,Order,8978276151,36:59.1,Planta de Reparacion,2087,10402,91387,311927,TRUE,FALSE,FALSE,,36 Cowley Drive,Suite 2540,TRUE,9651,80535,TRUE,54:06.7,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,59:09.0,15222,FALSE,,TRUE,04:11.2,,
39,,344,3,5196.98,29:40.5,12438,39,AC1000158C-ORIG.REC,16,3,150576,39,Quote,8786732278,43:00.1,Servicio de Integracion,2087,9229,27162,3495479,TRUE,TRUE,FALSE,,52 Oak Freeway,Customer Department,TRUE,65843,83687,FALSE,53:07.6,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,45:31.0,18814,FALSE,,TRUE,37:54.4,3094001,9:30
40,,958,6,20316.87,02:33.6,92732,40,AC1000133CORE,,4,49055,40,Quote,1961448570,53:10.0,Planta de Reparacion,1444,16348,26674,3102380,FALSE,TRUE,TRUE,,775 New Parkway, Group,TRUE,88952,8188,FALSE,13:48.1,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,16:20.5,14524,TRUE,,TRUE,18:52.9,3024007,7:01
41,,506,4,7670.11,26:16.2,20482,41,ABP3142,23,5,170101,41,Order,5962781896,12:57.3,Aseguradora,1444,,89603,1672194,TRUE,FALSE,FALSE,,89 North White Clarendon Boulevard,APT 54,FALSE,23481,73644,TRUE,42:00.0,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,50:32.6,40130,TRUE,,FALSE,59:05.2,,
42,,716,5,19478.92,02:49.8,19273,42,885CORE,,6,,42,Quote,1205142890,20:23.4,Servicio de Integracion,26,49440,21456,1123169,FALSE,TRUE,FALSE,,85 Clarendon St.,2nd Floor,TRUE,34132,85563,FALSE,15:58.5,FALSE,FALSE,3b7487a7-6e31-452d-8fdb-14648db0c3d2,,18:12.4,66258,TRUE,,FALSE,20:26.2,3112002,6:00
43,,119,1,17002.31,32:02.3,13871,43,ABP2466,5,7,5380,43,Quote,8771132393,53:49.7,Planta de Reparacion,438,70025,99728,1655156,FALSE,TRUE,TRUE,,76 Oak Road,,TRUE,90290,19707,FALSE,22:03.9,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,30:22.2,36718,FALSE,,FALSE,38:40.5,,
44,,1010,2,391.76,28:07.6,15318,44,ABPVW1,21,8,64668,44,Quote,3280154036,17:57.2,Planta de Reparacion,3,24011,24152,1425662,FALSE,TRUE,TRUE,,66 Clarendon Avenue,Appartment 12,FALSE,30176,43948,TRUE,06:55.0,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:26.2,63453,TRUE,,TRUE,03:57.3,,
45,,908,6,9008.73,14:23.1,7582,45,ABPP9014,,9,135042,45,Order,8730923281,42:57.7,Call center,890,93443,99724,2598070,TRUE,TRUE,FALSE,,844 New Drive,Suite 85,TRUE,4607,95472,FALSE,1/13/2009 1:48,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:25.7,59437,TRUE,,TRUE,22:48.4,3152004,7:30
46,,795,5,24235.07,19:56.9,63424,46,773CORE10,13,10,100852,46,Quote,9094578666,12:15.6,Servicio de Integracion,890,8059,12613,1026747,FALSE,TRUE,TRUE,,835 White Cowley Way,Appartment 8,FALSE,534,45793,FALSE,23:41.5,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,41:10.2,10690,FALSE,,TRUE,58:39.0,,
47,,338,3,693.62,46:39.7,14541,47,ABPB5013,18,11,10335,47,Quote,586197581,10:33.4,Servicio de Integracion,880,67354,88706,2243401,FALSE,TRUE,TRUE,,890 Hague Avenue,,FALSE,92801,84684,FALSE,38:22.4,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,50:05.1,97455,FALSE,,TRUE,01:47.7,1848002,3:01
48,,458,3,19335.48,40:25.3,63992,48,772RTEMP999,3,12,84147,48,Order,5998039974,22:40.0,Call center,363,97933,96057,989356,FALSE,TRUE,TRUE,,41 South Rocky Fabien Blvd.,Suite 4938,FALSE,13354,91056,FALSE,14:44.6,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,05:21.3,16907,FALSE,,FALSE,55:57.9,,
49,,147,1,19251.8,24:33.5,32051,49,661RADJUST,18,1,141613,49,Order,7380006223,47:29.8,Call center,363,17355,80875,723344,TRUE,TRUE,FALSE,,337 Rocky Fabien Way,,FALSE,78706,39046,TRUE,10:16.8,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,45:13.0,39552,FALSE,,FALSE,20:09.2,3032007,6:00
50,,222,2,20015.55,03:04.9,81228,50,*771MISC,,2,91687,50,Order,8782204532,52:29.3,Planta de Reparacion,1278,19535,,205372,FALSE,TRUE,TRUE,,59 White First Drive,Pre Sales Department,TRUE,98837,92284,FALSE,49:48.0,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,38:25.2,66637,FALSE,,TRUE,27:02.5,3175002,6:30
51,,411,3,17100.28,32:52.6,82650,51,ABPDG10R,5,3,91972,51,Quote,2595764668,32:25.4,Planta de Reparacion,1278,79523,73871,2352310,FALSE,TRUE,FALSE,,192 East Rocky Milton Road,,TRUE,82643,11311,FALSE,46:14.7,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,39:43.3,23993,FALSE,,FALSE,33:11.9,,
52,,719,5,15721.7,53:31.0,9965,52,AC1000140PP-ORIG.REC,,4,87279,52,Quote,3280154036,17:57.2,Planta de Reparacion,3,24011,24152,1425662,FALSE,TRUE,TRUE,,66 Clarendon Avenue,Appartment 12,FALSE,30176,43948,TRUE,06:55.0,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:26.2,63453,TRUE,,TRUE,03:57.3,,
53,,620,4,18196.63,03:55.2,67494,53,AC1000140R,9,5,3018,53,Order,8129809421,49:57.4,Aseguradora,1848,31692,97634,3177291,FALSE,TRUE,TRUE,,468 South Rocky Cowley Way,Washington Building,TRUE,98782,3075,TRUE,31:26.6,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,57:45.8,44426,TRUE,,FALSE,24:05.0,3145004,6:00
54,,488,3,275.32,03:02.4,20594,54,AC1000130R-ORIG.REC,12,6,151564,54,Quote,9131529766,23:09.7,Call center,438,6013,11206,3064390,FALSE,TRUE,TRUE,,77 North White New Drive,,FALSE,75033,74863,TRUE,06:11.1,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,40:01.0,74169,FALSE,,TRUE,13:50.8,,
55,,195,2,5370.32,28:46.3,60173,55,*886CMISC,21,7,54437,55,Order,3607595846,55:22.2,Servicio de Integracion,880,75324,74254,293508,TRUE,TRUE,FALSE,,99 North Fabien Street,Franklin Building,TRUE,99323,20830,FALSE,43:33.7,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,01:15.8,76813,FALSE,,TRUE,18:58.0,3063A05,6:00
56,,879,6,10620.41,58:10.2,89615,56,*HDPCLN012,20,8,46598,56,Order,8782774716,01:59.9,Aseguradora,880,33187,63604,327707,FALSE,FALSE,FALSE,,168 Oak St.,,TRUE,6522,90976,TRUE,58:39.8,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,36:30.4,16042,TRUE,,FALSE,14:20.9,,
57,,826,5,18076.94,36:00.7,71399,57,AC1000145R-ORIG.REC,8,9,65068,57,Quote,3844934983,00:20.1,Aseguradora,1442,76371,50726,3254352,TRUE,TRUE,TRUE,,233 White Old Freeway,Appartment 17,FALSE,96908,67922,TRUE,32:11.0,TRUE,FALSE,d3d35eb1-cc52-4f7f-b0ab-dd6173dd513b,,34:29.5,61229,TRUE,,TRUE,36:47.9,,
58,,736,5,8543.65,33:59.3,67629,58,410ADJUST,17,10,27969,58,Order,9859059947,49:44.9,Aseguradora,438,19252,80265,491446,TRUE,TRUE,TRUE,,560 Rocky Second Blvd.,Appartment 1,TRUE,74890,27773,TRUE,30:32.1,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,49:35.4,13741,TRUE,,FALSE,08:38.7,3051001,5:00
59,,859,6,14264.19,01:27.3,29680,59,ABP6108BK,,11,6456,59,Quote,262251394,26:29.2,Aseguradora,1236,11713,64695,1945819,TRUE,TRUE,FALSE,,432 East White Cowley Parkway,Truman Building,FALSE,51576,31621,TRUE,02:32.8,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,27:16.2,93096,FALSE,,TRUE,51:59.6,,
60,,680,5,3341.98,32:20.6,88858,60,ABP9137,,12,77698,60,Order,9223092348,59:18.3,Call center,1236,45594,26649,2094053,FALSE,TRUE,TRUE,,42 Second Road,Marshall Building,FALSE,64885,95709,TRUE,59:14.7,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,09:48.9,86312,FALSE,,TRUE,20:23.2,1848008,3:01
61,,625,4,12961.21,00:30.7,82667,61,,6,1,,61,Quote,,49:35.8,Call center,1878,88708,29632,,FALSE,TRUE,TRUE,,976 New Avenue,285th Floor,FALSE,84292,99237,FALSE,09:02.5,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,18:17.4,99029,TRUE,,TRUE,27:32.3,3005A07,9:00
62,,219,2,13150.87,41:17.7,15161,62,AC1000114CORE,,2,,62,Order,1707878722,05:07.4,Aseguradora,1878,74312,79357,2927351,FALSE,TRUE,FALSE,,502 Rocky Nobel Freeway,2nd Floor,TRUE,37578,42660,FALSE,50:04.8,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:04.1,226,FALSE,,TRUE,20:03.3,,
63,,896,6,2565.89,04:50.9,12123,63,771RTEMP999,,3,49559,63,Order,3818619754,09:40.7,Servicio de Integracion,1442,3480,19572,977713,TRUE,TRUE,TRUE,,724 Rocky Nobel Street,,FALSE,16615,,TRUE,10:07.3,FALSE,FALSE,d3d35eb1-cc52-4f7f-b0ab-dd6173dd513b,,20:50.4,45584,FALSE,,TRUE,31:33.5,3005B06,9:00
64,,897,6,4109.77,39:48.6,34165,64,AC1000147CORE,18,4,68635,64,Order,7837749702,29:43.7,Aseguradora,438,32390,20829,3269197,TRUE,TRUE,FALSE,,88 North White Cowley Way,Sales Department,FALSE,9846,94244,FALSE,52:11.3,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,30:33.6,92402,TRUE,,TRUE,08:55.8,3127015,7:00
65,,87,1,11723.42,47:35.8,60982,65,ABP140,24,5,,65,Order,4182564412,44:25.1,Servicio de Integracion,438,31024,77727,1370393,TRUE,TRUE,FALSE,,104 New Boulevard,59th Floor,TRUE,12926,45659,TRUE,19:39.2,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,22:57.4,21975,TRUE,,TRUE,26:15.7,,
